perturbation_size,murmur3,md5,sha1,sha256
0,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.5945945945945946
1,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.5945945945945946
2,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.5945945945945946
3,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.5945945945945946
4,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.5945945945945946
5,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.5945945945945946
6,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.5945945945945946
7,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.5945945945945946
8,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.5945945945945946
9,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.5945945945945946
10,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.5945945945945946
11,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.5945945945945946
12,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.5945945945945946
13,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.5945945945945946
14,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.5945945945945946
15,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.5945945945945946
16,0.0,0.0,0.0,0.0
