perturbation_size,speccert
0,0.9206349206349206
1,0.9206349206349206
2,0.9206349206349206
3,0.9206349206349206
4,0.9206349206349206
5,0.9206349206349206
6,0.9206349206349206
7,0.9206349206349206
8,0.9206349206349206
9,0.9206349206349206
10,0.9206349206349206
11,0.9047619047619048
12,0.9047619047619048
13,0.9047619047619048
14,0.9047619047619048
15,0.6190476190476191
16,0.0
