perturbation_size,T10,T30,T50
0,0.5877862595419847,0.5877862595419847,0.5877862595419847
1,0.5877862595419847,0.5877862595419847,0.5877862595419847
2,0.5877862595419847,0.5877862595419847,0.5877862595419847
3,0.5877862595419847,0.5877862595419847,0.5877862595419847
4,0.5877862595419847,0.5877862595419847,0.5877862595419847
5,0.5877862595419847,0.5877862595419847,0.5877862595419847
6,0.0,0.5877862595419847,0.5877862595419847
7,0.0,0.5877862595419847,0.5877862595419847
8,0.0,0.5877862595419847,0.5877862595419847
9,0.0,0.5877862595419847,0.5877862595419847
10,0.0,0.5877862595419847,0.5877862595419847
11,0.0,0.5877862595419847,0.5877862595419847
12,0.0,0.5877862595419847,0.5877862595419847
13,0.0,0.5877862595419847,0.5877862595419847
14,0.0,0.5877862595419847,0.5877862595419847
15,0.0,0.5877862595419847,0.5877862595419847
16,0.0,0.0,0.5877862595419847
